halId_s;docType_s;title_s;authFullName_s;producedDate_s;domain_s;journalTitle_s;conferenceTitle_s;fr_keyword_s;labStructAcronym_s
hal-01522818;ART;Multi-Country. The Regulation of Commercial Profiling – A Comparative Analysis;Indra Spiecker Döhmann,Olivia Tambou,Paul Bernal,Margaret Hu,Carlos Alberto Molinaro,Elsa Negre,Ingo Wolfgang Sarlet,Laura Schertel Mendes,Normann Witzleb,Florian Yger;2016;0.shs,1.shs.droit;European Data Protection Law Review;;Profilage commercial,Règlement Général de la Protection des Données;Cr2D,LAMSADE
hal-01509500;ART;A consolidated approach to the axiomatization of outranking relations: a survey and new results;Denis Bouyssou,Marc Pirlot;2015;0.info;Annals of Operations Research;;;LAMSADE
hal-01508402;COMM;High variety impacts on Bill of Materials Structure: Carmakers case study;Clément Chatras,Vincent Giard,Mustapha Sali;2015;0.info;;2015 IFAC Symposium on Information Control in Manufacturing (INCOM 2015);;LAMSADE,DRM
hal-01715916;COMM;Completely independent spanning trees for enhancing the robustness in ad-hoc Networks;Axel Moinet,Benoit Darties,Nicolas Gastineau,Jean-Luc Baril,Olivier Togni;09/10/2017;0.info,1.info.info-ni,0.info,1.info.info-dm,0.info,1.info.info-cc;;2017 IEEE 13th International Conference on Wireless and Mobile Computing, Networking and Communications (WiMob);;Le2i,LAMSADE
hal-01277428;COMM;Rationalisation of Profiles of Abstract Argumentation Frameworks;Stéphane Airiau,Elise Bonzon,Ulle Endriss,Nicolas Maudet,Julien Rossit;09/05/2016;0.info,1.info.info-ai;;AAMAS 2016;;LAMSADE,LIPADE - EA 2517,ILLC,LIP6
hal-02091342;ART;Parameterized and approximation complexity of Partial VC Dimension;Cristina Bazgan,Florent Foucaud,Florian Sikora;2019;0.info;Theoretical Computer Science;;VC dimension,Distinguishing Transversal,Partial problems,Hypergraphs,Parameterized complexity,Approximation complexity;LAMSADE,LIMOS
hal-01926689;ART;New results on polynomial inapproximability and fixed parameter approximability of edge dominating set;Bruno Escoffier,Jérôme Monnot,Vangelis Th. Paschos,Mingyu Xiao;2015-02;0.info,0.info,1.info.info-ds,0.info,1.info.info-cc;Theory of Computing Systems;;;LIP6,LAMSADE
hal-01488424;ART;Bi-objective matchings with the triangle inequality;Laurent Gourvès,Jérôme Monnot,Fanny Pascual,Daniel Vanderpooten;2017;0.info;Theoretical Computer Science;;;LAMSADE,LIP6
hal-02076432;ART;On the complexity of various parameterizations of common induced subgraph isomorphism;Faisal N Abu-Khzam,Édouard Bonnet,Florian Sikora;2017;0.info;Theoretical Computer Science;;Induced common isomorphism,Parameterized complexity,Kernelization,ETH,Based lower bounds;LAMSADE
hal-01830911;COMM;Towards automatic argumentation about voting rules;Michael Kirsten,Olivier Cailloux;02/07/2018;0.info,0.info,1.info.info-ai;;4ème conférence sur les Applications Pratiques de l'Intelligence Artificielle APIA2018;;LAMSADE
hal-01680527;COMM;Intelligent Digital Learning: Agent-Based Recommender System;Imène Brigui-Chtioui,Philippe Caillou,Elsa Negre;24/02/2017;0.info,1.info.info-ai;;ICMLC 2017 - 9th International Conference on Machine Learning and Computing;;LRI,LAMSADE
hal-02115544;ART;Parameterized complexity and approximation issues for the colorful components problems;Riccardo Dondi,Florian Sikora;2018;0.info;Theoretical Computer Science;;Colorful components,Parameterized complexity,Algorithms,Computational biology;LAMSADE
hal-02105288;ART;Complexity and inapproximability results for the Power Edge Set problem;Sonia Toubaline,Claudia d'Ambrosio,Leo Liberti,Pierre-Louis Poirion,Baruch Schieber,Hadas Shachnai;2018-04;0.info,1.info.info-ro;Journal of Combinatorial Optimization;;;LAMSADE,LIX
hal-01592242;ART;A polynomial-time algorithm for Outerplanar Diameter Improvement;Nathann Cohen,Daniel Gonçalves,Eun Jung Kim,Christophe Paul,Ignasi Sau,Dimitrios M. Thilikos,Mathias Weller;2017-11;0.math,1.math.math-co,0.info,1.info.info-ds,0.info,1.info.info-cc;Journal of Computer and System Sciences;;;LRI,LIRMM,LAMSADE
hal-01194840;COMM;The Role of the Enterprise’s Information and Knowledge System within the Digital Enterprise;Atif Linda,Pierre-Emmanuel Arduin,Michel Grundstein,Elsa Negre,Camille Rosenthal-Sabroux;16/04/2015;0.info,0.shs,1.shs.info;;International Conference on Knowledge Management, Information and Knowledge Systems (KMIKS) 2015;;LAMSADE,DRM
hal-01491765;COMM;Schema Inference for Massive JSON Datasets;Mohamed-Amine Baazizi,Houssem Ben Lahmar,Dario Colazzo,Giorgio Ghelli,Carlo Sartiani;21/03/2017;0.info,1.info.info-db,0.info,1.info.info-cl;;Extending Database Technology (EDBT);;LIP6,LAMSADE,DI,DMI
hal-01420854;ART;Mismatch between Habitat Science and Habitat Directive: Lessons from the French (Counter) Example;Martin Jeanmougin,Camille Dehais,Yves Meinard;2016;0.sde,1.sde.be;Conservation Letters;;;CESCO,LAMSADE
hal-02344055;COMM;Maximum Independent Sets in Subcubic Graphs: New Results;Ararat Harutyunyan,Michael Lampis,Vadim Lozin,Jérôme Monnot;19/06/2019;0.info,1.info.info-cc,0.info,1.info.info-dm,0.info,1.info.info-ro;;Graph-Theoretic Concepts in Computer Science - 45th International   Workshop, WG 2019;;LAMSADE
hal-01090645;ART;On the topological semigroup of equational classes of finite functions under composition;Jorge Almeida,Miguel Couceiro,Tamas Waldhauser;2017;0.math;Journal of Multiple-Valued Logic and Soft Computing;;;UNIVERSIDADE DO PORTO,LAMSADE,LORIA
hal-02378977;COMM;A Branch-Cut-and-Price Algorithm for the Location-Routing Problem;Pedro Liguori,Ridha Mahjoub,Ruslan Sadykov,Eduardo Uchoa;17/06/2019;0.info,1.info.info-ro;;TRISTAN X  - The Tenth Triennial Symposium on Transportation AnalysisThe Tenth Triennial Symposium on Transportation Analysis;;LAMSADE,LaBRI,IMB
hal-01991635;COMM;QPTAS and Subexponential Algorithm for Maximum Clique on Disk Graphs;Edouard Bonnet,Panos Giannopoulos,Eun Jung Kim,Paweł Rzążewski,Florian Sikora;11/06/2018;0.info,0.info,1.info.info-cg,0.info,1.info.info-ds;;SoCG 2018;;LIP,LAMSADE
hal-02311536;ART;Error Estimate and Fairness in Resource Allocation with Inaccurate Information Sharing;Francesca Fossati,Deep Medhi,Stefano Moretti,Stefano Secci;01/12/2019;0.info,1.info.info-ni;IEEE Networking Letters;;;CEDRIC,LAMSADE
hal-01445492;COMM;A Mood Value for Fair Resource Allocations;Francesca Fossati,Stefano Moretti,Stefano Secci;12/06/2017;0.info,1.info.info-ni,0.info,1.info.info-gt;;IFIP Networking 2017;;LIP6,LAMSADE
hal-02303821;ART;Chore division on a graph;Sylvain Bouveret,Katarína Cechlarova,Julien Lesca;2019;0.info;Autonomous Agents and Multi-Agent Systems;;Computational social choice,Resource allocation,Fair division,Indivisible chores;LIG,LAMSADE
hal-02285040;COMM;Interactive Elicitation of a Majority Rule Sorting Model with Maximum Margin Optimization;Ons Nefla,Meltem Öztürk,Paolo Viappiani,Imène Brigui-Chtioui;25/10/2019;0.info,1.info.info-ai;;ADT 2019 - 6th International Conference on Algorithmic Decision Theory;;LAMSADE
hal-01630524;ART;A genome-wide microRNA profiling indicates miR-424-5p and miR-503-5p as regulators of ALK expression in neuroblastoma;Marilena de Mariano,Sara Stigliani,Stefano Moretti,Federica Parodi,Michela Croce,Cinzia Bernardi,Aldo Pagano,Gian Paolo Tonini,Silvano Ferrini,Luca Longo;2017;0.sdv,1.sdv.can,0.sdv,1.sdv.neu,2.sdv.neu.nb,0.sdv,1.sdv.bbm,2.sdv.bbm.gtp;Oncotarget;;MiR-503-5p,Neuroblastoma,ALK,MiR-424-5p,MicroRNA;LAMSADE
hal-01991645;COMM;The PACE 2018 Parameterized Algorithms and Computational Experiments Challenge: The Third Iteration;Edouard Bonnet,Florian Sikora;22/08/2018;0.info,0.info,1.info.info-ds;;IPEC 2018;;LIP,LAMSADE
hal-02098420;ART;Exact approaches for the knapsack problem with setups;Fabio Furini,Michele Monaci,Emiliano Traversi;2018;0.info;Computers and Operations Research;;Knapsack problems,Column generation,Relaxations,Branch-and-bound algorithms,Computational experiments;LAMSADE,LIPN
hal-01632972;ART;Distance Transformation for Network Design Problems;Ali Ridha Mahjoub,Michael Poss,Luidi Simonetti,Eduardo Uchoa;2019;0.info,1.info.info-ro;SIAM Journal on Optimization;;;LAMSADE,LIRMM
hal-02308142;ART;An in-silico analysis of information sharing systems for adaptable resources management: A case study of oyster farmers;Nicolas Paget,Bruno Bonté,Olivier Barreteau,Gabriella Pigozzi,Pierre Maurel;2019;0.info;Socio-Environmental Systems Modelling;;;LAMSADE,UMR G-EAU,UMR TETIS
hal-02290131;COMM;Attributes regrouping in Fuzzy Rule Based Classification Systems: an intra-classes approach;Amel Borgi,Rim Kalaï,Hayfa Zgaya;28/10/2018;0.math,0.spi,0.info,0.info,1.info.info-mo;;In the 15th ACS/IEEE International Conference on Computer Systems and Applications AICCSA 2018;;LIPAH,LAMSADE,ILIS,CERIM
hal-01569582;COMM;Mining rare sequential patterns with ASP;Ahmed Samet,Thomas Guyet,Benjamin Negrevergne;04/09/2017;0.info,1.info.info-ai,0.info,1.info.info-ds,0.info,1.info.info-lo;;ILP 2017 - 27th International Conference on Inductive Logic Programming;;IRISA,LAMSADE
hal-01819205;COMM;Disease Classification in Metagenomics with 2D Embeddings and Deep Learning;Thanh Hai Nguyen,Edi Prifti,Yann Chevaleyre,Nataliya Sokolovska,Jean-Daniel Zucker;20/06/2018;0.info,0.info,1.info.info-bi,0.info,1.info.info-cv,0.info,1.info.info-im,0.info,1.info.info-lg;;La Conférence sur l'Apprentissage automatique (CAp);;ICAN,LAMSADE,ICAN
hal-01178490;COMM;PAXQuery: Parallel Analytical XML Processing;Jesús Camacho-Rodríguez,Dario Colazzo,Ioana Manolescu,Juan A. M. Naranjo;31/05/2015;0.info,1.info.info-db;;ACM SIGMOD International Conference on Management of Data 2015;;LAMSADE,LRI,LRI
lirmm-01264011;COMM;An FPT Algorithm and a Polynomial Kernel for Linear Rankwidth-1 Vertex Deletion;Christophe Paul,Eun Jung Kim,Mamadou Moustapha Kanté,O-Joung Kwon;2015;0.info,1.info.info-dm;;IPEC: International symposium on Parameterized and Exact Computation;;LIRMM,LAMSADE,LIMOS
hal-01875381;COMM;Two Node-Disjoint Paths Routing for Energy-Efficiency and Network Reliability;Rihab Maaloul,Raouia Taktak,Lamia Chaari,Bernard Cousin;26/07/2018;0.info,1.info.info-ni;;25th International Conference on Telecommunication (ICT 2018);;LAMSADE,IRISA
hal-02277658;COMM;Modélisation des problèmes de l’allocation des planches et des postes à quai;Hamza Bouzekri,Gülgün Alpan,Vincent Giard;2019;0.info;;13ème Conférence internationale de CIGI QUALITA 2019;Allocation des planches,Programmation linéaire zéro-un,Contraintes disjonctives spatio-temporelles,Gestion portuaire,Allocation des postes à quai;G-SCOP,LAMSADE
hal-02301982;COMM;Combiner les sémantiques à base d'extensions et les sémantiques à base de classement en argumentation abstraite;Elise Bonzon,Jérôme Delobelle,Sébastien Konieczny,Nicolas Maudet;01/07/2019;0.info,1.info.info-ai;;13èmes Journées d’Intelligence Artificielle Fondamentale (JIAF 2019);;LIPADE - EA 2517,CRIL,LAMSADE
hal-02308078;COMM;Ordonnancement réactif pour le suivi de cibles mobiles : de la robustesse à la garantie de performance en ligne;Florian Delavernhe,Charly Lersteau,André Rossi,Marc Sevaux;2019;0.info;;20ème congrès annuel de la société Française de Recherche Opérationnelle et d’Aide à la Décision (ROADEF 2019);;LERIA,LAMSADE,Lab-STICC
hal-01495356;COUV;An MCDA Approach for Evaluating Hydrogen Storage Systems for Future Vehicles;Florent Montignac,Vincent Mousseau,Denis Bouyssou,Mohamed Ali Aloulou,Benjamin Rousval,Sébastien Damart;2015;0.info;;;;LITEN,LGI,LAMSADE,DRM
hal-01926860;COMM;Multistage Matchings;Evripidis Bampis,Bruno Escoffier,Michael Lampis,Vangelis Th. Paschos;18/06/2018;0.info;;16th Scandinavian Symposium and Workshops on Algorithm Theory (SWAT 2018);;LAMSADE
